prefix	i	n	algo1	algo2
1	0	2864785220	2626.8455	
2	1	2864785219	2662.1943	5637.39
4	2	2864785217	2849.387	4739.91
8	3	2864785213	3026.8423	3999.1
16	4	2231009467	3105.9051	2927.42
32	5	375212160	3091.8996	1053.36
64	6	123963655	3051.2464	465.906
128	7	51666977	3030.0771	298.702
256	8	26532356	3025.5063	216.306
512	9	15398534	3053.1931	171.39
1024	10	8867476	3056.5828	93.6844
2048	11	4893467	3043.389	69.4454
4096	12	2528555	3061.8325	42.092
8192	13	1205449	3045.6901	20.1813
16384	14	556533	3059.4124	14.2239
32768	15	207623	3064.5439	10.4057
65536	16	4192	3071.4705	4.89901

